"titulo";"localizacion";"precio";"ascensor";"baños";"trastero";"piso";"habitaciones";"metros_reales";"condicion";"armarios_empotrados";"terraza";"balcon";"garaje";"calefaccion";"aire_acondicionado";"newLocation";"region";"buy_sell_price";"gross_profitability"
"Alquiler de Piso en avenida Libertad";"Casillas";640;1;2;1;"Bajo";3;103;"Segunda mano/buen estado";0;0;0;1;0;0;"casillas";NA;104108;7.37695470088754
"Alquiler de Piso en luis fontes pagan, 11";"Vistabella";800;0;1;0;"Primero";3;100;"Segunda mano/buen estado";0;1;1;0;1;1;"vistabella";NA;137829;6.96515247154082
"Alquiler de Piso en plaza Bandera Paracaidista Ortiz de Zarate";"Juan de Borbón";750;1;1;0;"Intermedios";2;65;"Segunda mano/buen estado";1;0;0;1;0;1;"juan de borbon";NA;77393;11.6289586913545
"Alquiler de Piso en calle Bailén";"El Castillo-San Roque-El Carmen";645;1;2;0;"Intermedios";3;100;"Segunda mano/buen estado";1;1;0;0;0;0;"el castillo-san roque-el carmen";NA;170558;4.53804570879114
"Alquiler de Piso en calle Cortes";"San Pedro";670;0;1;0;"Primero";2;63;"Segunda mano/buen estado";0;0;0;0;0;0;"san pedro";NA;66132;12.1575031754672
"Alquiler de Piso en calle Jara Carrillo";"San Pedro";950;1;1;0;"Intermedios";2;85;"Segunda mano/buen estado";1;0;0;0;0;1;"san pedro";NA;101375;11.2453760789149
"Alquiler de Piso en avenida Don Juan de Borbón";"Juan de Borbón";750;1;1;0;"Intermedios";2;65;"Segunda mano/buen estado";1;0;0;1;0;0;"juan de borbon";NA;65587;13.7222315397868
"Alquiler de Piso en calle Mariano Ruiz Funes, 17";"Vista Alegre";800;0;2;0;"Primero";3;90;"Segunda mano/buen estado";1;0;0;0;0;0;"vista alegre";NA;158924;6.0406231909592
"Alquiler de Chalet adosado en Sotavento, 26";"Bahía";500;0;1;1;"Muchas_plantas";2;80;"Segunda mano/buen estado";1;1;0;0;0;1;"bahia";NA;133645;4.48950578023869
"Alquiler de Piso en plaza Emilio Díez de Revenga";"San Miguel";900;1;2;0;"Primero";3;105;"Segunda mano/buen estado";1;0;0;0;0;1;"san miguel";NA;180095;5.99683500374802
"Alquiler de Piso en calle Gloria";"La Ñora";780;1;2;0;"Bajo";3;142;"Segunda mano/buen estado";0;1;0;0;1;0;"la nora";NA;166085;5.63566848300569
"Alquiler de Ático en avenida Pérez Urruti";"El Puntal";1000;1;2;0;"Ultimos_pisos";3;145;"Segunda mano/buen estado";0;1;0;1;0;0;"el puntal";NA;219731;5.46122304090001
"Alquiler de Piso en avenida Don Juan de Borbón s/n";"Churra";675;1;2;1;"Intermedios";2;70;"Segunda mano/buen estado";1;0;0;1;1;1;"churra";NA;147329;5.49789925948048
"Alquiler de Piso en puerta de Orihuela";"San Juan";950;1;2;0;"Intermedios";3;90;"Segunda mano/buen estado";1;1;1;0;1;1;"san juan";NA;205202;5.55550140836834
