"titulo";"localizacion";"precio";"ascensor";"baños";"trastero";"piso";"habitaciones";"metros_reales";"condicion";"armarios_empotrados";"terraza";"balcon";"garaje";"calefaccion";"aire_acondicionado";"newLocation";"region";"rent_price";"gross_profitability"
"Dúplex en venta en Torrealta-Ribera de Molina";"Molina de Segura";120000;0;3;0;"Bajo";5;231;"Segunda mano/buen estado";0;1;1;1;1;1;"torrealta-ribera de molina";NA;1204;12.04
"Casa o chalet independiente en venta en Los Vientos-Casa Ros";"Molina de Segura";199500;0;3;0;"Primero";4;213;"Segunda mano/buen estado";1;1;1;1;1;1;"los vientos-casa ros";NA;1136;6.83308270676692
"Casa o chalet independiente en venta en El Llano";"Molina de Segura";280000;0;3;0;"Primero";3;310;"Segunda mano/buen estado";1;0;0;1;1;1;"el llano";NA;1173;5.02714285714286
"Piso en venta en calle Hermanos Álvarez QUintero";"San Antonio-San José-Los Ángeles";117000;0;1;0;"Intermedios";3;114;"Segunda mano/para reformar";0;0;0;1;0;0;"san antonio-san jose-los angeles";NA;749;7.68205128205128
"Piso en venta en calle Campo";"Las Torres de Cotillas";36000;0;1;0;"Intermedios";3;122;"Segunda mano/para reformar";0;0;0;0;0;0;"las torres de cotillas";"Las Torres de Cotillas";759;25.3
"Chalet adosado en venta en Las Torres de Cotillas";"las torres de cotillas";139000;0;2;0;"Primero";3;107;"Segunda mano/buen estado";0;0;0;1;1;0;"las torres de cotillas";"Las Torres de Cotillas";879;7.58848920863309
"Piso en venta en calle tERRAZAS, 8";"Altorreal-El Chorrico";195000;1;2;1;"Bajo";4;137;"Segunda mano/buen estado";1;1;0;1;0;0;"altorreal-el chorrico";NA;919;5.65538461538462
"Casa o chalet en venta en calle Acequia, 2";"Torrealta-Ribera de Molina";194291;0;2;0;"Muchas_plantas";4;358;"Segunda mano/buen estado";0;0;0;1;0;0;"torrealta-ribera de molina";NA;1258;7.76978861604501
"Casa o chalet en venta en calle Scipión";"Lorqui";35500;0;1;0;"Muchas_plantas";3;95;"Segunda mano/para reformar";0;1;0;0;0;0;"lorqui";"Lorquí";761;25.7239436619718
"Chalet adosado en venta en Los Vientos-Casa Ros";"Molina de Segura";195000;0;3;0;"Primero";4;200;"Segunda mano/buen estado";0;0;0;0;1;0;"los vientos-casa ros";NA;1109;6.82461538461538
"Piso en venta en Centro";"Molina de Segura";119000;1;2;0;"Ultimos_pisos";5;157;"Segunda mano/buen estado";1;0;0;0;1;1;"centro";NA;1084;10.9310924369748
"Piso en venta en camino salitre, 2";"Alguazas";27000;0;1;0;"Intermedios";3;100;"Segunda mano/para reformar";0;0;0;0;0;0;"alguazas";"Alguazas";734;32.6222222222222
"Casa o chalet independiente en venta en Las Torres de Cotillas";"las torres de cotillas";420000;0;3;0;"Primero";4;360;"Segunda mano/buen estado";0;0;0;1;1;0;"las torres de cotillas";"Las Torres de Cotillas";1294;3.69714285714286
"Casa o chalet en venta en calle Acequia, 2";"Torrealta-Ribera de Molina";172087;0;2;0;"Muchas_plantas";4;316;"Segunda mano/buen estado";0;0;0;0;0;0;"torrealta-ribera de molina";NA;1211;8.44456583007432
"Dúplex en venta en Alguazas";"alguazas";169000;0;3;0;"Primero";4;241;"Segunda mano/buen estado";1;1;1;1;1;1;"alguazas";"Alguazas";1169;8.30059171597633
"Piso en venta en calle las Terrazas, 11";"Altorreal-El Chorrico";240000;1;2;0;"Primero";4;130;"Segunda mano/buen estado";1;1;1;0;1;1;"altorreal-el chorrico";NA;976;4.88
"Casa o chalet independiente en venta en ronda Norte-Sur";"La Alcayna";342000;0;2;0;"Primero";3;120;"Segunda mano/buen estado";1;1;0;0;1;0;"la alcayna";NA;899;3.15438596491228
"Piso en venta en calle Las Acacias";"Altorreal-El Chorrico";318000;0;1;0;"Bajo";3;192;"Segunda mano/para reformar";0;0;0;0;0;0;"altorreal-el chorrico";NA;838;3.1622641509434
"Piso en venta en plaza de la Cruz";"Sagrado Corazón";44000;0;1;0;"Intermedios";3;90;"Segunda mano/buen estado";0;0;0;0;0;0;"sagrado corazon";NA;785;21.4090909090909
"Piso en venta en avenida de Lorquí, 56";"Ceuti";105000;1;1;1;"Bajo";2;95;"Segunda mano/buen estado";1;1;0;1;1;1;"ceuti";"Ceutí";690;7.88571428571429
"Casa o chalet independiente en venta en calle Mayor, 8";"Centro";330000;0;2;1;"Muchas_plantas";2;300;"Segunda mano/para reformar";0;1;1;1;0;1;"centro";NA;977;3.55272727272727
"Chalet pareado en venta en Las Torres de Cotillas";"las torres de cotillas";240000;0;2;1;"Primero";3;155;"Segunda mano/buen estado";0;0;0;1;1;0;"las torres de cotillas";"Las Torres de Cotillas";891;4.455
"Piso en venta en avenida Gutierrez Mellado s/n";"San Antonio-San José-Los Ángeles";215000;1;2;1;"Intermedios";3;120;"Segunda mano/buen estado";1;0;1;1;1;1;"san antonio-san jose-los angeles";NA;883;4.92837209302326
"Chalet pareado en venta en calle de el greco, 10";"Alguazas";74900;0;2;0;"Primero";4;160;"Segunda mano/buen estado";0;1;0;0;0;0;"alguazas";"Alguazas";971;15.5567423230975
"Piso en venta en calle General Primo de Rivera, 36";"Alguazas";63000;0;2;0;"Primero";3;122;"Segunda mano/buen estado";0;0;1;0;0;0;"alguazas";"Alguazas";912;17.3714285714286
